Source,Target,Weight_n,Weight
58671714,11319931,185.23684210526315,7039
35705552,321575,4.21981981981982,7026
37110493,27007609,74.47311827956989,6926
37110493,20182676,74.46236559139786,6925
37110493,50181561,74.46236559139786,6925
37110493,11179071,74.45161290322581,6924
37110493,31219580,74.45161290322581,6924
37110493,32539538,74.45161290322581,6924
27470086,63990238,112.88524590163935,6886
17238796,33122906,254.33333333333334,6867
35705552,7623152,4.118318318318319,6857
41557795,29618048,101.35820895522389,6791
41557795,33122899,101.35820895522389,6791
41557795,23978678,101.1044776119403,6774
41557795,37972414,101.05970149253731,6771
41557795,27094367,100.98507462686567,6766
17238796,52381987,249.8148148148148,6745
17238796,24709613,249.7037037037037,6742
17238796,28059876,249.66666666666666,6741
17238796,29936007,249.66666666666666,6741
46391215,56122907,210.34375,6731
27470086,11319931,109.8360655737705,6700
27470086,6534442,109.21311475409836,6662
27470086,6711783,109.21311475409836,6662
27470086,21077675,109.21311475409836,6662
27470086,52933854,109.21311475409836,6662
27470086,61661593,109.21311475409836,6662
27470086,64737503,109.21311475409836,6662
27470086,73330339,109.21311475409836,6662
23603576,9472791,102.27692307692308,6648
23603576,37182148,102.27692307692308,6648
7318424,47784993,29.233480176211454,6636
28059876,17238796,345.4736842105263,6564
28266255,20600915,406.0,6496
30551205,18719564,214.43333333333334,6433
27470086,42918145,104.32786885245902,6364
7318424,33816766,27.740088105726873,6297
16191901,12296302,45.007194244604314,6256
40384840,25455727,157.66666666666666,6149
40384840,14464095,157.12820512820514,6128
40384840,41701044,157.12820512820514,6128
22251262,7013659,10.543402777777779,6073
33122906,45305755,71.43529411764706,6072
33122906,10765544,71.41176470588235,6070
343055,19033763,377.0,6032
7060416,36550,29.696517412935325,5969
17839641,35705552,7.223970944309928,5967
17582542,18660281,126.38297872340425,5940
17582542,20675053,126.38297872340425,5940
17582542,20953605,126.38297872340425,5940
17582542,23069112,126.38297872340425,5940
17582542,25209730,126.38297872340425,5940
17582542,33876825,126.38297872340425,5940
17582542,39760794,126.38297872340425,5940
16658622,42495813,346.1764705882353,5885
16658622,20136360,346.11764705882354,5884
16658622,29519065,346.11764705882354,5884
16658622,47886627,346.11764705882354,5884
84369,7978583,29.714285714285715,5824
34822425,11319931,45.992063492063494,5795
49598248,4964590,642.0,5778
49598248,10402751,642.0,5778
11186982,14588661,230.96,5774
11186982,28177614,230.96,5774
11186982,36550,230.92,5773
13968839,47577370,94.62295081967213,5772
34822425,6534442,45.80952380952381,5772
22251262,50354362,10.008680555555555,5765
36751660,20460898,142.975,5719
2011786,14172972,41.693430656934304,5712
36751660,11319931,142.8,5712
36751660,17763152,142.475,5699
36751660,44530962,142.475,5699
36751660,52616919,142.475,5699
36751660,54263031,142.475,5699
36751660,64710844,142.475,5699
36751660,67090885,142.475,5699
36751660,68383315,142.475,5699
36751660,69073033,142.475,5699
36751660,76473056,142.475,5699
36751660,6534442,142.45,5698
13968839,30664908,93.14754098360656,5682
22161365,39069465,270.0952380952381,5672
13968839,56347544,92.85245901639344,5664
13968839,33451425,92.8360655737705,5663
13968839,44622782,92.81967213114754,5662
13968839,45338234,92.81967213114754,5662
13968839,60731944,92.81967213114754,5662
13968839,65042458,92.81967213114754,5662
13968839,71251282,92.81967213114754,5662
22251262,18123618,9.822916666666666,5658
22251262,12422792,9.8125,5652
22251262,10463523,9.791666666666666,5640
75496064,32263503,562.3,5623
52624555,38816004,242.8695652173913,5586
41716762,38028833,327.1764705882353,5562
41716762,41229886,326.88235294117646,5557
41716762,45782134,326.88235294117646,5557
2011786,17135637,40.503649635036496,5549
16400987,20675224,23.802575107296136,5546
16400987,6385252,23.798283261802574,5545
16400987,21971996,23.798283261802574,5545
16400987,29824939,23.798283261802574,5545
16400987,40217601,23.798283261802574,5545
16400987,44217553,23.798283261802574,5545
16400987,45782099,23.798283261802574,5545
16400987,63070701,23.798283261802574,5545
51439823,4964590,54.56435643564357,5511
51439823,10402751,54.56435643564357,5511
17839641,1472457,6.661016949152542,5502
28124882,34559523,33.126506024096386,5499
27198991,18051307,99.7090909090909,5484
27198991,28267019,99.52727272727273,5474
27198991,15126930,99.41818181818182,5468
27198991,49448516,99.4,5467
27198991,5168141,99.38181818181818,5466
27198991,24501679,99.38181818181818,5466
27198991,25051642,99.38181818181818,5466
27198991,37709465,99.38181818181818,5466
17839641,3624734,6.60774818401937,5458
30449043,26045349,678.5,5428
23965423,46391215,38.97122302158273,5417
16878966,38180537,104.07692307692308,5412
16878966,10736083,104.03846153846153,5410
18051307,27198991,108.18,5409
18051307,28267019,108.02,5401
18051307,5168141,108.0,5400
18051307,24501679,108.0,5400
18051307,15126930,107.96,5398
18051307,25051642,107.96,5398
18051307,37709465,107.96,5398
18051307,49448516,107.96,5398
44283910,5127933,128.0,5376
57766669,28704387,24.548387096774192,5327
28704387,5081024,17.503401360544217,5146
8670015,24842100,25.142857142857142,5104
14684899,9714701,18.888475836431226,5081
57669957,33118299,279.77777777777777,5036
57669957,39615291,279.77777777777777,5036
57669957,42962074,279.77777777777777,5036
57669957,46477074,279.77777777777777,5036
57669957,47671200,279.77777777777777,5036
57669957,66680862,279.77777777777777,5036
